risk_tier,total_loans,total_exposure,total_expected_loss,avg_pd,actual_default_rate,exposure_pct,expected_loss_pct,expected_loss_rate,avg_pd_pct,actual_default_rate_pct
Low Risk,256119,3582797975.0,452257093.5639194,0.21016252568904514,0.06207270838945959,19.35428129714597,8.442776678145124,12.62301410014388,21.016252568904513,6.207270838945958
Medium Risk,768142,10347707000.0,2949511042.9023204,0.47133257391775135,0.18366916533661745,55.8983323804202,55.061741207222646,28.504006181295242,47.13325739177513,18.366916533661744
High Risk,244425,4581151025.0,1954965919.2221808,0.7065998587146566,0.3725191776618595,24.747386322433822,36.49548211463222,42.67412072978277,70.65998587146566,37.25191776618595
